море,мореLabel,океан,океанLabel,площадь,названоВЧесть,названоВЧестьLabel
http://www.wikidata.org/entity/Q1239,Индийский океан,http://www.wikidata.org/entity/Q715269,Мировой океан,70560000,http://www.wikidata.org/entity/Q668,Индия
http://www.wikidata.org/entity/Q159183,Филиппинское море,http://www.wikidata.org/entity/Q98,Тихий океан,5000000,,
http://www.wikidata.org/entity/Q58705,Аравийское море,http://www.wikidata.org/entity/Q1239,Индийский океан,3862000,,
http://www.wikidata.org/entity/Q37660,Южно-Китайское море,http://www.wikidata.org/entity/Q98,Тихий океан,3500000,,
http://www.wikidata.org/entity/Q37660,Южно-Китайское море,http://www.wikidata.org/entity/Q398805,Китайские моря,3500000,,
http://www.wikidata.org/entity/Q1247,Карибское море,http://www.wikidata.org/entity/Q350134,Северная Атлантика,2754000,,
http://www.wikidata.org/entity/Q1247,Карибское море,http://www.wikidata.org/entity/Q470088,Американское Средиземное море,2754000,,
http://www.wikidata.org/entity/Q33254,Тасманово море,http://www.wikidata.org/entity/Q98,Тихий океан,2300000,http://www.wikidata.org/entity/Q42188,Абел Янсзон Тасман
http://www.wikidata.org/entity/Q44725,Берингово море,http://www.wikidata.org/entity/Q98,Тихий океан,2300000,http://www.wikidata.org/entity/Q127641,Витус Ионассен Беринг
http://www.wikidata.org/entity/Q132868,Гренландское море,http://www.wikidata.org/entity/Q788,Северный Ледовитый океан,1205000,,
http://www.wikidata.org/entity/Q1404920,море Сомова,http://www.wikidata.org/entity/Q7354,Южный океан,1150000,http://www.wikidata.org/entity/Q1346939,Михаил Михайлович Сомов
http://www.wikidata.org/entity/Q2835799,Q2835799,http://www.wikidata.org/entity/Q98,Тихий океан,1140647,http://www.wikidata.org/entity/Q736578,Мигель Грау
http://www.wikidata.org/entity/Q2835799,Q2835799,http://www.wikidata.org/entity/Q12355425,Q12355425,1140647,http://www.wikidata.org/entity/Q736578,Мигель Грау
http://www.wikidata.org/entity/Q163434,Восточно-Сибирское море,http://www.wikidata.org/entity/Q788,Северный Ледовитый океан,987000,,
http://www.wikidata.org/entity/Q164466,Море Росса,http://www.wikidata.org/entity/Q7354,Южный океан,960000,,
http://www.wikidata.org/entity/Q970130,Аргентинское море,http://www.wikidata.org/entity/Q1482804,Южная Атлантика,940000,,
http://www.wikidata.org/entity/Q1576063,Море Лазарева,http://www.wikidata.org/entity/Q97,Атлантический океан,929000,http://www.wikidata.org/entity/Q186203,Михаил Петрович Лазарев
http://www.wikidata.org/entity/Q1576063,Море Лазарева,http://www.wikidata.org/entity/Q7354,Южный океан,929000,http://www.wikidata.org/entity/Q186203,Михаил Петрович Лазарев
http://www.wikidata.org/entity/Q204703,Море Скоша,http://www.wikidata.org/entity/Q7354,Южный океан,900000,http://www.wikidata.org/entity/Q20744156,Q20744156
http://www.wikidata.org/entity/Q204703,Море Скоша,http://www.wikidata.org/entity/Q1482804,Южная Атлантика,900000,http://www.wikidata.org/entity/Q20744156,Q20744156
http://www.wikidata.org/entity/Q184189,Море Лабрадор,http://www.wikidata.org/entity/Q350134,Северная Атлантика,841000,,
http://www.wikidata.org/entity/Q1542675,Море Ирмингера,http://www.wikidata.org/entity/Q350134,Северная Атлантика,780000,http://www.wikidata.org/entity/Q5824015,Карл Людвиг Христиан Ирмингер
http://www.wikidata.org/entity/Q199479,Соломоново море,http://www.wikidata.org/entity/Q98,Тихий океан,720000,,
http://www.wikidata.org/entity/Q1509546,Море Космонавтов,http://www.wikidata.org/entity/Q7354,Южный океан,699000,http://www.wikidata.org/entity/Q12634815,космонавт
http://www.wikidata.org/entity/Q37040,Море Баффина,http://www.wikidata.org/entity/Q788,Северный Ледовитый океан,689000,http://www.wikidata.org/entity/Q55807,Уильям Баффин
http://www.wikidata.org/entity/Q37040,Море Баффина,http://www.wikidata.org/entity/Q184189,Море Лабрадор,689000,http://www.wikidata.org/entity/Q55807,Уильям Баффин
http://www.wikidata.org/entity/Q164466,Море Росса,http://www.wikidata.org/entity/Q7354,Южный океан,637000,,
http://www.wikidata.org/entity/Q1693,Северное море,http://www.wikidata.org/entity/Q350134,Северная Атлантика,570000,http://www.wikidata.org/entity/Q659,север
http://www.wikidata.org/entity/Q1693,Северное море,http://www.wikidata.org/entity/Q350134,Северная Атлантика,570000,http://www.wikidata.org/entity/Q679,запад
http://www.wikidata.org/entity/Q1693,Северное море,http://www.wikidata.org/entity/Q350134,Северная Атлантика,570000,http://www.wikidata.org/entity/Q22633,германцы
http://www.wikidata.org/entity/Q171510,Море Банда,http://www.wikidata.org/entity/Q98,Тихий океан,470000,,
http://www.wikidata.org/entity/Q171510,Море Банда,http://www.wikidata.org/entity/Q111384093,Q111384093,470000,,
http://www.wikidata.org/entity/Q23406,Красное море,http://www.wikidata.org/entity/Q1239,Индийский океан,445816,http://www.wikidata.org/entity/Q3142,красный
http://www.wikidata.org/entity/Q5484,Каспийское море,http://www.wikidata.org/entity/Q111384107,регион Средиземного моря,386400,http://www.wikidata.org/entity/Q243312,Касситы
http://www.wikidata.org/entity/Q37960,Жёлтое море,http://www.wikidata.org/entity/Q98,Тихий океан,380000,http://www.wikidata.org/entity/Q943,жёлтый
http://www.wikidata.org/entity/Q37960,Жёлтое море,http://www.wikidata.org/entity/Q398805,Китайские моря,380000,http://www.wikidata.org/entity/Q943,жёлтый
http://www.wikidata.org/entity/Q199436,Новогвинейское море,http://www.wikidata.org/entity/Q98,Тихий океан,361000,http://www.wikidata.org/entity/Q8442,Отто фон Бисмарк
http://www.wikidata.org/entity/Q160194,Море Сулу,http://www.wikidata.org/entity/Q98,Тихий океан,348000,,
http://www.wikidata.org/entity/Q49364,Яванское море,http://www.wikidata.org/entity/Q1239,Индийский океан,320000,,
http://www.wikidata.org/entity/Q748696,Левантийское море,http://www.wikidata.org/entity/Q3301962,Восточное Средиземноморье,320000,http://www.wikidata.org/entity/Q81483,Левант
http://www.wikidata.org/entity/Q38882,Тирренское море,http://www.wikidata.org/entity/Q6008933,Q6008933,275000,,
http://www.wikidata.org/entity/Q34675,Персидский залив,http://www.wikidata.org/entity/Q1239,Индийский океан,251000,http://www.wikidata.org/entity/Q3746183,Персия
http://www.wikidata.org/entity/Q150370,Море Флорес,http://www.wikidata.org/entity/Q98,Тихий океан,240000,,
http://www.wikidata.org/entity/Q34575,Эгейское море,http://www.wikidata.org/entity/Q3301962,Восточное Средиземноморье,214000,http://www.wikidata.org/entity/Q191725,Эгей
http://www.wikidata.org/entity/Q131274,Море Бофорта,http://www.wikidata.org/entity/Q788,Северный Ледовитый океан,178000,http://www.wikidata.org/entity/Q21186,Фрэнсис Бофорт
http://www.wikidata.org/entity/Q13924,Адриатическое море,http://www.wikidata.org/entity/Q4918,Средиземное море,138595,http://www.wikidata.org/entity/Q34615,Адрия
http://www.wikidata.org/entity/Q13924,Адриатическое море,http://www.wikidata.org/entity/Q3301962,Восточное Средиземноморье,138595,http://www.wikidata.org/entity/Q34615,Адрия
http://www.wikidata.org/entity/Q1649939,Q1649939,http://www.wikidata.org/entity/Q118383320,Восточная Балтика,79000,,
http://www.wikidata.org/entity/Q277014,Бали,http://www.wikidata.org/entity/Q98,Тихий океан,45000,,
http://www.wikidata.org/entity/Q35000,Азовское море,http://www.wikidata.org/entity/Q166,Чёрное море,37600,,
http://www.wikidata.org/entity/Q14686,Финский залив,http://www.wikidata.org/entity/Q545,Балтийское море,29500,http://www.wikidata.org/entity/Q33,Финляндия
http://www.wikidata.org/entity/Q509321,Море Дейвиса,http://www.wikidata.org/entity/Q7354,Южный океан,21000,,
http://www.wikidata.org/entity/Q3240274,Q3240274,http://www.wikidata.org/entity/Q13924,Адриатическое море,210,http://www.wikidata.org/entity/Q928983,Муртер
