sea,ocean,area,depth,coordinates,named_after
http://www.wikidata.org/entity/Q1239,http://www.wikidata.org/entity/Q715269,70560000,3711,Point(80.0 -20.0),http://www.wikidata.org/entity/Q668
http://www.wikidata.org/entity/Q1239,http://www.wikidata.org/entity/Q715269,70560000,7450,Point(80.0 -20.0),http://www.wikidata.org/entity/Q668
http://www.wikidata.org/entity/Q159183,http://www.wikidata.org/entity/Q98,5000000,10911,Point(134.0 18.0),
http://www.wikidata.org/entity/Q58705,http://www.wikidata.org/entity/Q1239,3862000,5800,Point(64.0 16.0),
http://www.wikidata.org/entity/Q37660,http://www.wikidata.org/entity/Q98,3500000,5559,Point(113.0 12.0),
http://www.wikidata.org/entity/Q37660,http://www.wikidata.org/entity/Q398805,3500000,5559,Point(113.0 12.0),
http://www.wikidata.org/entity/Q1247,http://www.wikidata.org/entity/Q350134,2754000,7686,Point(-75.0 15.0),
http://www.wikidata.org/entity/Q1247,http://www.wikidata.org/entity/Q470088,2754000,7686,Point(-75.0 15.0),
http://www.wikidata.org/entity/Q33254,http://www.wikidata.org/entity/Q98,2300000,5994,Point(161.0 -37.0),http://www.wikidata.org/entity/Q42188
http://www.wikidata.org/entity/Q44725,http://www.wikidata.org/entity/Q98,2300000,4191,Point(-178.0 58.0),http://www.wikidata.org/entity/Q127641
http://www.wikidata.org/entity/Q132868,http://www.wikidata.org/entity/Q788,1205000,4800,Point(-8.170555555 76.668888888),
http://www.wikidata.org/entity/Q132868,http://www.wikidata.org/entity/Q788,1205000,5600,Point(-8.170555555 76.668888888),
http://www.wikidata.org/entity/Q1404920,http://www.wikidata.org/entity/Q7354,1150000,3000,Point(160.0 -67.0),http://www.wikidata.org/entity/Q1346939
http://www.wikidata.org/entity/Q2835799,http://www.wikidata.org/entity/Q98,1140647,,Point(-75.75 -20.0),http://www.wikidata.org/entity/Q736578
http://www.wikidata.org/entity/Q2835799,http://www.wikidata.org/entity/Q12355425,1140647,,Point(-75.75 -20.0),http://www.wikidata.org/entity/Q736578
http://www.wikidata.org/entity/Q163434,http://www.wikidata.org/entity/Q788,987000,155,Point(163.0 72.0),
http://www.wikidata.org/entity/Q164466,http://www.wikidata.org/entity/Q7354,960000,919,Point(-175.0 -75.0),
http://www.wikidata.org/entity/Q970130,http://www.wikidata.org/entity/Q1482804,940000,2224,Point(-63.0 -46.0),
http://www.wikidata.org/entity/Q1576063,http://www.wikidata.org/entity/Q97,929000,,Point(7.0 -68.0),http://www.wikidata.org/entity/Q186203
http://www.wikidata.org/entity/Q1576063,http://www.wikidata.org/entity/Q7354,929000,,Point(7.0 -68.0),http://www.wikidata.org/entity/Q186203
http://www.wikidata.org/entity/Q204703,http://www.wikidata.org/entity/Q7354,900000,5840,Point(-40.0 -57.5),http://www.wikidata.org/entity/Q20744156
http://www.wikidata.org/entity/Q204703,http://www.wikidata.org/entity/Q1482804,900000,5840,Point(-40.0 -57.5),http://www.wikidata.org/entity/Q20744156
http://www.wikidata.org/entity/Q184189,http://www.wikidata.org/entity/Q350134,841000,1898,Point(-56.612777777 60.683888888),
http://www.wikidata.org/entity/Q1542675,http://www.wikidata.org/entity/Q350134,780000,,Point(-35.0 62.0),http://www.wikidata.org/entity/Q5824015
http://www.wikidata.org/entity/Q199479,http://www.wikidata.org/entity/Q98,720000,9140,Point(152.666666666 -7.5),
http://www.wikidata.org/entity/Q1509546,http://www.wikidata.org/entity/Q7354,699000,,Point(44.0 -66.0),http://www.wikidata.org/entity/Q12634815
http://www.wikidata.org/entity/Q37040,http://www.wikidata.org/entity/Q788,689000,2136,Point(-67.996419444 74.00135),http://www.wikidata.org/entity/Q55807
http://www.wikidata.org/entity/Q37040,http://www.wikidata.org/entity/Q184189,689000,2136,Point(-67.996419444 74.00135),http://www.wikidata.org/entity/Q55807
http://www.wikidata.org/entity/Q164466,http://www.wikidata.org/entity/Q7354,637000,919,Point(-175.0 -75.0),
http://www.wikidata.org/entity/Q1693,http://www.wikidata.org/entity/Q350134,570000,700,Point(3.6825 56.459),http://www.wikidata.org/entity/Q659
http://www.wikidata.org/entity/Q1693,http://www.wikidata.org/entity/Q350134,570000,700,Point(3.6825 56.459),http://www.wikidata.org/entity/Q679
http://www.wikidata.org/entity/Q1693,http://www.wikidata.org/entity/Q350134,570000,700,Point(3.6825 56.459),http://www.wikidata.org/entity/Q22633
http://www.wikidata.org/entity/Q171510,http://www.wikidata.org/entity/Q98,470000,6400,Point(127.211527777 -5.364088888),
http://www.wikidata.org/entity/Q171510,http://www.wikidata.org/entity/Q111384093,470000,6400,Point(127.211527777 -5.364088888),
http://www.wikidata.org/entity/Q23406,http://www.wikidata.org/entity/Q1239,445816,3040,Point(38.0 22.0),http://www.wikidata.org/entity/Q3142
http://www.wikidata.org/entity/Q5484,http://www.wikidata.org/entity/Q111384107,386400,211,Point(50.5 42.0),http://www.wikidata.org/entity/Q243312
http://www.wikidata.org/entity/Q5484,http://www.wikidata.org/entity/Q111384107,386400,1025,Point(50.5 42.0),http://www.wikidata.org/entity/Q243312
http://www.wikidata.org/entity/Q37960,http://www.wikidata.org/entity/Q98,380000,152,Point(123.0 35.0),http://www.wikidata.org/entity/Q943
http://www.wikidata.org/entity/Q37960,http://www.wikidata.org/entity/Q398805,380000,152,Point(123.0 35.0),http://www.wikidata.org/entity/Q943
http://www.wikidata.org/entity/Q199436,http://www.wikidata.org/entity/Q98,361000,2900,Point(148.0 -3.766666666),http://www.wikidata.org/entity/Q8442
http://www.wikidata.org/entity/Q160194,http://www.wikidata.org/entity/Q98,348000,1000,Point(120.0 8.0),
http://www.wikidata.org/entity/Q160194,http://www.wikidata.org/entity/Q98,348000,5576,Point(120.0 8.0),
http://www.wikidata.org/entity/Q49364,http://www.wikidata.org/entity/Q1239,320000,67,Point(110.0 -5.0),
http://www.wikidata.org/entity/Q748696,http://www.wikidata.org/entity/Q3301962,320000,4482,Point(30.0 34.0),http://www.wikidata.org/entity/Q81483
http://www.wikidata.org/entity/Q38882,http://www.wikidata.org/entity/Q6008933,275000,2000,Point(12.0 40.0),
http://www.wikidata.org/entity/Q38882,http://www.wikidata.org/entity/Q6008933,275000,3785,Point(12.0 40.0),
http://www.wikidata.org/entity/Q2085564,,258000,,Point(72.0 -65.0),
http://www.wikidata.org/entity/Q34675,http://www.wikidata.org/entity/Q1239,251000,90,Point(52.0 26.0),http://www.wikidata.org/entity/Q3746183
http://www.wikidata.org/entity/Q150370,http://www.wikidata.org/entity/Q98,240000,5140,Point(119.666666666 -7.0),
http://www.wikidata.org/entity/Q34575,http://www.wikidata.org/entity/Q3301962,214000,2100,Point(25.3 38.5),http://www.wikidata.org/entity/Q191725
http://www.wikidata.org/entity/Q131274,http://www.wikidata.org/entity/Q788,178000,1004,Point(-137.0 72.0),http://www.wikidata.org/entity/Q21186
http://www.wikidata.org/entity/Q131274,http://www.wikidata.org/entity/Q788,178000,4683,Point(-137.0 72.0),http://www.wikidata.org/entity/Q21186
http://www.wikidata.org/entity/Q13924,http://www.wikidata.org/entity/Q4918,138595,1233,Point(15.426111 42.775833),http://www.wikidata.org/entity/Q34615
http://www.wikidata.org/entity/Q13924,http://www.wikidata.org/entity/Q3301962,138595,1233,Point(15.426111 42.775833),http://www.wikidata.org/entity/Q34615
http://www.wikidata.org/entity/Q1649939,http://www.wikidata.org/entity/Q118383320,79000,293,Point(19.5 61.5),
http://www.wikidata.org/entity/Q277014,http://www.wikidata.org/entity/Q98,45000,1590,Point(116.070555555 -7.661944444),
http://www.wikidata.org/entity/Q35000,http://www.wikidata.org/entity/Q166,37600,14.5,Point(37.0 46.0),
http://www.wikidata.org/entity/Q130456032,,32000,,,
http://www.wikidata.org/entity/Q14686,http://www.wikidata.org/entity/Q545,29500,121,Point(26.0 59.833333333),http://www.wikidata.org/entity/Q33
http://www.wikidata.org/entity/Q509321,http://www.wikidata.org/entity/Q7354,21000,,Point(92.0 -66.0),
http://www.wikidata.org/entity/Q3240274,http://www.wikidata.org/entity/Q13924,210,94,Point(15.4370712 43.7831646),http://www.wikidata.org/entity/Q928983
http://www.wikidata.org/entity/Q2006740,,,,,http://www.wikidata.org/entity/Q1325371
http://www.wikidata.org/entity/Q2010428,,,,,
http://www.wikidata.org/entity/Q2012111,,,,Point(24.11666667 78.63333333),http://www.wikidata.org/entity/Q234926
http://www.wikidata.org/entity/Q2067956,http://www.wikidata.org/entity/Q545,,5,Point(23.08333 58.75),
http://www.wikidata.org/entity/Q2068404,http://www.wikidata.org/entity/Q4918,,,Point(33.8333 35.8333),
http://www.wikidata.org/entity/Q2322479,http://www.wikidata.org/entity/Q788,,,Point(-107.0 78.5),http://www.wikidata.org/entity/Q52878
http://www.wikidata.org/entity/Q2355931,http://www.wikidata.org/entity/Q12355425,,,Point(177.188 -26.8242),
http://www.wikidata.org/entity/Q2357232,,,,Point(20.0 58.0),
http://www.wikidata.org/entity/Q3094964,,,,,
http://www.wikidata.org/entity/Q3265357,,,,,
http://www.wikidata.org/entity/Q1640853,http://www.wikidata.org/entity/Q34575,,,Point(26.333333333 37.466666666),
http://www.wikidata.org/entity/Q1902276,http://www.wikidata.org/entity/Q7354,,,Point(105.0 -65.0),http://www.wikidata.org/entity/Q434281
http://www.wikidata.org/entity/Q1913944,http://www.wikidata.org/entity/Q4918,,,,
http://www.wikidata.org/entity/Q1971856,http://www.wikidata.org/entity/Q350134,,,Point(-7.0 57.0),
http://www.wikidata.org/entity/Q2001466,,,,,
http://www.wikidata.org/entity/Q33629,http://www.wikidata.org/entity/Q788,,620,Point(77.0 77.0),http://www.wikidata.org/entity/Q2425552
http://www.wikidata.org/entity/Q34640,http://www.wikidata.org/entity/Q350134,,180,Point(-2.0 50.0),
http://www.wikidata.org/entity/Q37884,,,,,
http://www.wikidata.org/entity/Q41735,http://www.wikidata.org/entity/Q350134,,262,Point(-5.0 53.5),http://www.wikidata.org/entity/Q22890
http://www.wikidata.org/entity/Q81499,http://www.wikidata.org/entity/Q350134,,,Point(-7.914444444 50.502222222),
http://www.wikidata.org/entity/Q131418,http://www.wikidata.org/entity/Q1239,,3200,Point(126.0 -11.0),
http://www.wikidata.org/entity/Q159252,http://www.wikidata.org/entity/Q788,,1256,Point(-171.29 69.51),
http://www.wikidata.org/entity/Q169274,http://www.wikidata.org/entity/Q350134,,7000,Point(-66.175 28.335555555),http://www.wikidata.org/entity/Q865061
http://www.wikidata.org/entity/Q185291,http://www.wikidata.org/entity/Q98,,,Point(125.416666666 -0.416666666),
http://www.wikidata.org/entity/Q193149,http://www.wikidata.org/entity/Q34575,,,Point(25.07083334 36.00027779),
http://www.wikidata.org/entity/Q193465,http://www.wikidata.org/entity/Q1239,,3470,Point(122.003333333 -9.539722222),
