sea,seaLabel,oceanLabel,area,depth,coordinates,named_afterLabel
http://www.wikidata.org/entity/Q1239,Индийский океан,Мировой океан,70560000,3711,Point(80.0 -20.0),Индия
http://www.wikidata.org/entity/Q1239,Индийский океан,Мировой океан,70560000,7450,Point(80.0 -20.0),Индия
http://www.wikidata.org/entity/Q159183,Филиппинское море,Тихий океан,5000000,10911,Point(134.0 18.0),
http://www.wikidata.org/entity/Q58705,Аравийское море,Индийский океан,3862000,5800,Point(64.0 16.0),
http://www.wikidata.org/entity/Q37660,Южно-Китайское море,Тихий океан,3500000,5559,Point(113.0 12.0),
http://www.wikidata.org/entity/Q37660,Южно-Китайское море,Китайские моря,3500000,5559,Point(113.0 12.0),
http://www.wikidata.org/entity/Q1247,Карибское море,Северная Атлантика,2754000,7686,Point(-75.0 15.0),
http://www.wikidata.org/entity/Q1247,Карибское море,Американское Средиземное море,2754000,7686,Point(-75.0 15.0),
http://www.wikidata.org/entity/Q33254,Тасманово море,Тихий океан,2300000,5994,Point(161.0 -37.0),Абел Янсзон Тасман
http://www.wikidata.org/entity/Q44725,Берингово море,Тихий океан,2300000,4191,Point(-178.0 58.0),Витус Ионассен Беринг
http://www.wikidata.org/entity/Q132868,Гренландское море,Северный Ледовитый океан,1205000,4800,Point(-8.170555555 76.668888888),
http://www.wikidata.org/entity/Q132868,Гренландское море,Северный Ледовитый океан,1205000,5600,Point(-8.170555555 76.668888888),
http://www.wikidata.org/entity/Q1404920,море Сомова,Южный океан,1150000,3000,Point(160.0 -67.0),Михаил Михайлович Сомов
http://www.wikidata.org/entity/Q2835799,Grau Sea,Тихий океан,1140647,,Point(-75.75 -20.0),Мигель Грау
http://www.wikidata.org/entity/Q2835799,Grau Sea,South Pacific Ocean,1140647,,Point(-75.75 -20.0),Мигель Грау
http://www.wikidata.org/entity/Q163434,Восточно-Сибирское море,Северный Ледовитый океан,987000,155,Point(163.0 72.0),
http://www.wikidata.org/entity/Q164466,Море Росса,Южный океан,960000,919,Point(-175.0 -75.0),
http://www.wikidata.org/entity/Q970130,Аргентинское море,Южная Атлантика,940000,2224,Point(-63.0 -46.0),
http://www.wikidata.org/entity/Q1576063,Море Лазарева,Атлантический океан,929000,,Point(7.0 -68.0),Михаил Петрович Лазарев
http://www.wikidata.org/entity/Q1576063,Море Лазарева,Южный океан,929000,,Point(7.0 -68.0),Михаил Петрович Лазарев
http://www.wikidata.org/entity/Q204703,Море Скоша,Южный океан,900000,5840,Point(-40.0 -57.5),Scotia
http://www.wikidata.org/entity/Q204703,Море Скоша,Южная Атлантика,900000,5840,Point(-40.0 -57.5),Scotia
http://www.wikidata.org/entity/Q184189,Море Лабрадор,Северная Атлантика,841000,1898,Point(-56.612777777 60.683888888),
http://www.wikidata.org/entity/Q1542675,Море Ирмингера,Северная Атлантика,780000,,Point(-35.0 62.0),Карл Людвиг Христиан Ирмингер
http://www.wikidata.org/entity/Q199479,Соломоново море,Тихий океан,720000,9140,Point(152.666666666 -7.5),
http://www.wikidata.org/entity/Q1509546,Море Космонавтов,Южный океан,699000,,Point(44.0 -66.0),космонавт
http://www.wikidata.org/entity/Q37040,Море Баффина,Северный Ледовитый океан,689000,2136,Point(-67.996419444 74.00135),Уильям Баффин
http://www.wikidata.org/entity/Q37040,Море Баффина,Море Лабрадор,689000,2136,Point(-67.996419444 74.00135),Уильям Баффин
http://www.wikidata.org/entity/Q164466,Море Росса,Южный океан,637000,919,Point(-175.0 -75.0),
